hptotal;nome_bairr;id_bairro;pop
1;ADHEMAR GARCIA;414;9278
2;AMERICA;201;11264
0;ANITA GARIBALDI;401;8156
2;ATIRADORES;402;5002
1;AVENTUREIRO;211;34878
1;BOA VISTA;203;16638
1;BOEHMERWALD;420;16224
1;BOM RETIRO;202;11160
1;BUCAREIN;403;5428
3;CENTRO;101;4961
0;COMASA;214;19601
1;COSTA E SILVA;204;27425
2;DONA FRANCISCA;422;528
1;ESPINHEIROS;417;9616
1;FLORESTA;405;17986
1;FATIMA;404;14031
2;GLORIA;205;10327
1;GUANABARA;406;11352
0;IRIRIU;207;22344
1;ITAUM;407;14287
1;ITINGA;408;6362
0;JARDIM IRIRIU;416;22756
0;JARDIM PARAISO;415;16791
0;JARDIM SOFIA;212;4221
1;JARIVATUBA;409;12318
1;JOAO COSTA;419;12560
1;MORRO DO MEIO;413;8606
0;NOVA BRASILIA;410;12810
1;PARANAGUAMIRIM;421;27728
1;PARQUE GUARANI;425;10633
1;PETROPOLIS;418;13368
3;PIRABEIRABA;301;4215
1;PROFIPO;426;1036
2;RIO BONITO;423;6236
1;SAGUAÇU;206;13087
1;SANTA CATARINA;411;9440
0;SANTO ANTONIO;208;6555
2;SAO MARCOS;412;2649
1;ULYSSES GUIMARAES;424;9365
1;VILA CUBATAO;215;933
1;VILA NOVA;209;22008
2;ZONA INDUSTRIAL NORTE;210;3028
0;ZONA INDUSTRIAL TUPY;213;44
